time_s,temperature_c
0,27.4
5,29.7
10,31.0
15,33.3
20,35.2
25,37.3
30,39.2
35,40.2
40,41.7
45,43.2
50,42.6
55,42.5
60,42.0
65,41.8
70,41.6
75,41.0
80,40.4
85,39.9
90,39.5
95,39.5
